Date,Close,High,Low,Open,Volume,log_return,realized_vol_21d,parkinson_vol_21d,garman_klass_vol_21d,regime
2015-01-02,2058.199951171875,2072.360107421875,2046.0400390625,2058.89990234375,2708700000,,,,,normal
2015-01-05,2020.5799560546875,2054.43994140625,2017.3399658203125,2054.43994140625,3799120000,-0.0184472135325872,,,,normal
2015-01-06,2002.6099853515625,2030.25,1992.43994140625,2022.1500244140625,4460110000,-0.0089332546907001,,,,normal
2015-01-07,2025.9000244140625,2029.6099853515625,2005.550048828125,2005.550048828125,3805480000,0.0115627358448763,,,,normal
2015-01-08,2062.139892578125,2064.080078125,2030.6099853515625,2030.6099853515625,3934010000,0.0177301681271556,,,,normal
2015-01-09,2044.81005859375,2064.429931640625,2038.3299560546875,2063.449951171875,3364140000,-0.0084393221470787,,,,normal
2015-01-12,2028.260009765625,2049.300048828125,2022.5799560546875,2046.1300048828125,3456460000,-0.0081266168434704,,,,normal
2015-01-13,2023.030029296875,2056.929931640625,2008.25,2031.5799560546875,4107300000,-0.0025818854358163,,,,normal
2015-01-14,2011.27001953125,2018.4000244140625,1988.43994140625,2018.4000244140625,4378680000,-0.0058300289679756,,,,normal
2015-01-15,1992.6700439453125,2021.3499755859373,1991.469970703125,2013.75,4276720000,-0.0092909030045675,,,,normal
2015-01-16,2019.4200439453125,2020.4599609375,1988.1199951171875,1992.25,4056410000,0.0133348931862672,,,,normal
2015-01-20,2022.550048828125,2028.93994140625,2004.489990234375,2020.760009765625,3944340000,0.0015487524334003,,,,normal
2015-01-21,2032.1199951171875,2038.2900390625,2012.0400390625,2020.18994140625,3730070000,0.0047204650221893,,,,normal
2015-01-22,2063.14990234375,2064.6201171875,2026.3800048828125,2034.300048828125,4176050000,0.0151543130706303,,,,normal
2015-01-23,2051.820068359375,2062.97998046875,2050.5400390625,2062.97998046875,3573560000,-0.0055066562793019,,,,normal
2015-01-26,2057.090087890625,2057.6201171875,2040.969970703125,2050.419921875,3465760000,0.0025651679986232,,,,normal
2015-01-27,2029.550048828125,2047.8599853515625,2019.9100341796875,2047.8599853515625,3329810000,-0.0134782878158575,,,,normal
2015-01-28,2002.1600341796875,2042.489990234375,2001.489990234375,2032.3399658203125,4067530000,-0.013587502811022,,,,normal
2015-01-29,2021.25,2024.6400146484373,1989.1800537109373,2002.449951171875,4127140000,0.0094895170582635,,,,normal
2015-01-30,1994.989990234375,2023.3199462890625,1993.3800048828125,2019.3499755859373,4568650000,-0.0130770990063184,,,,normal
2015-02-02,2020.8499755859373,2021.6600341796875,1980.9000244140625,1996.6700439453125,4008330000,0.0128791700002152,,0.1498523479814433,0.145454361661714,normal
2015-02-03,2050.030029296875,2050.300048828125,2022.7099609375,2022.7099609375,4615900000,0.014336238577453,0.1809780750480387,0.1501433627453183,0.1429830661340767,normal
